"animal_id","water_year","first_detection_startup_1","last_detection_startup_1","last_detection_startup_2","first_detection_endup","route_cluster","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"UCDHIST-GS0479-2011-04-14",2015,2015-03-08 15:46:13,2015-03-12 12:47:02,2015-03-14 10:06:12,2015-03-28 07:27:58,1,1,"up",2015-03-14 10:06:12,4573.35714285714,6403.85714285714,13.8901157407407,63.0020703942857,58.7263716371429
"UCDHIST-GS0481-2011-04-14",2015,2015-04-15 00:39:43,2015-04-16 08:35:57,2015-04-20 01:09:24,2015-04-30 08:45:41,0,1,"up",2015-04-20 01:09:24,4949.90909090909,5663.27272727273,10.3168634259259,64.5732142842857,62.73914566
"UCDHIST-GS0484-2008-10-27",2013,2013-02-08 14:00:31,2013-02-08 15:17:31,2013-02-09 15:02:49,2013-03-09 10:17:58,1,1,"up",2013-02-09 15:02:49,6142.53571428571,12112.0357142857,27.8021875,49.9071428557143,50.0803571414286
"UCDHIST-GS0484-2008-10-27",2016,2016-03-13 03:37:53,2016-03-13 10:51:32,2016-03-14 06:42:34,2016-03-29 09:49:13,0,1,"up",2016-03-14 06:42:34,28349.25,55378.3125,15.1296180555556,55.9972308485714,54.6785196685714
"UCDHIST-GS0486-2011-08-02",2012,2012-01-25 09:18:02,2012-07-09 10:25:35,2012-06-28 10:04:49,NA,NA,0,"up",2012-06-28 10:04:49,10892,15296,NA,69.4565476185714,69.4208333328571
"UCDHIST-GS0487-2011-08-09",2011,2011-08-09 21:24:42,2011-08-23 05:02:09,2011-08-20 22:15:36,NA,NA,0,"up",2011-08-20 22:15:36,NA,NA,NA,70.7553571428572,71.5517857142857
"UCDHIST-GS0488-2011-08-10",2013,2013-06-03 11:43:58,2013-06-05 01:34:05,2013-06-07 14:57:00,NA,NA,0,"up",2013-06-07 14:57:00,10319.5789473684,11347.9473684211,NA,66.6589285714286,68.8698240171429
"UCDHIST-GS0489-2011-08-15",2012,2012-05-07 21:38:44,2012-06-19 10:09:35,2012-06-18 13:28:49,NA,NA,0,"up",2012-06-18 13:28:49,9063,11675,NA,70.6625,69.7863095242857
"UCDHIST-GS0489-2011-08-15",2013,2013-04-14 08:23:31,2013-05-18 07:35:20,2013-04-24 19:12:14,NA,NA,0,"up",2013-04-24 19:12:14,NA,NA,NA,65.0422619057143,62.3922619042857
"UCDHIST-GS0496-2012-04-13",2012,2012-04-14 04:46:26,2012-07-27 01:37:45,2012-04-19 01:49:55,NA,NA,0,"up",2012-04-19 01:49:55,9693,20417,NA,64.6827380957143,57.69702381
"UCDHIST-GS0497-2012-04-13",2012,2012-04-14 12:08:36,2012-08-21 11:52:15,2012-08-19 15:51:52,NA,NA,0,"up",2012-08-19 15:51:52,NA,NA,NA,71.1373964814286,72.3142857128571
"UCDHIST-GS0498-2012-04-13",2012,2012-04-14 13:29:22,2012-07-03 06:07:28,2012-05-20 10:03:27,NA,NA,0,"up",2012-05-20 10:03:27,NA,NA,NA,67.7101190485714,66.53452381
