"animal_id","water_year","last_detection_startup_2","first_detection_endup","status","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"UCDHIST-GS0461-2011-04-12",2016,2016-03-26 00:58:46,2016-04-11 17:35:36,"up_complete",1,"up",2016-03-26 00:58:46,11340.1764705882,27360,16.6922453703704,57.8661564628571,57.17148033
"UCDHIST-GS0463-2011-04-12",2016,2016-02-06 04:06:36,2016-02-27 10:56:06,"up_complete",1,"up",2016-02-06 04:06:36,7515.90909090909,14730.5909090909,21.284375,51.0107142842857,50.5505952385714
"UCDHIST-GS0465-2011-04-12",2017,2017-02-27 14:23:38,2017-04-04 23:20:19,"up_complete",1,"up",2017-02-27 14:23:38,36782.5277777778,61335.8055555556,36.3726967592593,51.3041666671429,51.1289855071429
"UCDHIST-GS0466-2011-04-12",2016,2016-04-07 00:23:26,2016-04-20 04:27:15,"up_complete",1,"up",2016-04-07 00:23:26,8279.38461538462,16582.1538461538,13.1693171296296,62.7829968957143,59.5863095257143
"UCDHIST-GS0470-2011-04-12",2016,2016-03-28 03:56:36,2016-04-10 14:10:16,"up_complete",1,"up",2016-03-28 03:56:36,10292.5714285714,24919.2142857143,13.4261574074074,58.4970238114286,57.1571946157143
"UCDHIST-GS0471-2011-04-12",2016,2016-03-12 05:35:58,2016-03-25 23:09:36,"up_complete",1,"up",2016-03-12 05:35:58,36658.9285714286,58737.8571428571,13.7316898148148,54.5947722571429,56.1452639757143
"UCDHIST-GS0473-2011-04-14",2013,2013-08-28 02:53:51,NA,"up_incomplete",0,"up",2013-08-28 02:53:51,7410,16467,NA,71.783891304,71.6464285714286
"UCDHIST-GS0473-2011-04-14",2015,2015-04-07 03:55:06,NA,"up_incomplete",0,"up",2015-04-07 03:55:06,4636.6,5763.88,NA,62.3873599457143,64.1892857128571
"UCDHIST-GS0474-2011-04-14",2014,2014-03-21 19:01:29,2014-04-11 13:09:57,"up_complete",1,"up",2014-03-21 19:01:29,7036.66666666667,10584.8095238095,20.7558796296296,61.0758799171429,58.4934523814286
"UCDHIST-GS0476-2011-04-14",2016,2016-03-18 07:57:47,2016-03-31 19:07:00,"up_complete",1,"up",2016-03-18 07:57:47,23907.3846153846,48867.8461538462,13.4647337962963,57.17148033,53.57217909
"UCDHIST-GS0476-2011-04-14",2020,2020-03-30 17:19:41,2020-04-12 05:41:23,"up_complete",1,"up",2020-03-30 17:19:41,7647.83333333333,13445,12.5150694444444,58.2,56.7285714285714
"UCDHIST-GS0477-2011-04-14",2015,2015-03-02 13:21:00,NA,"up_incomplete",0,"up",2015-03-02 13:21:00,5021.93181818182,6495.34090909091,NA,56.9703933742857,55.9190476185714
"UCDHIST-GS0478-2011-04-14",2016,2016-02-28 15:41:06,2016-03-18 22:00:39,"up_complete",1,"up",2016-02-28 15:41:06,27596.4736842105,39927.5263157895,19.2635763888889,56.8666666657143,55.2476190485714
"UCDHIST-GS0478-2011-04-14",2019,2019-03-02 21:22:54,NA,"up_incomplete",0,"up",2019-03-02 21:22:54,50858.6666666667,60422,NA,52.5714285714286,49.2142857142857
"UCDHIST-GS0479-2011-04-14",2015,2015-03-14 10:06:12,2015-03-28 07:27:58,"up_complete",1,"up",2015-03-14 10:06:12,4573.35714285714,6403.85714285714,13.8901157407407,63.0020703942857,58.7263716371429
"UCDHIST-GS0481-2011-04-14",2015,2015-04-20 01:09:24,2015-04-30 08:45:41,"up_complete",1,"up",2015-04-20 01:09:24,4949.90909090909,5663.27272727273,10.3168634259259,64.5732142842857,62.73914566
"UCDHIST-GS0481-2011-04-14",2020,2020-03-23 01:39:51,2020-04-09 13:12:17,"up_complete",1,"up",2020-03-23 01:39:51,7321.64705882353,12438.9444444444,17.4808564814815,56.8714285714286,56.6857142857143
"UCDHIST-GS0484-2008-10-27",2013,2013-02-09 15:02:49,2013-03-09 10:17:58,"up_complete",1,"up",2013-02-09 15:02:49,6142.53571428571,12112.0357142857,27.8021875,49.9071428557143,50.0803571414286
"UCDHIST-GS0484-2008-10-27",2016,2016-03-14 06:42:34,2016-03-29 09:49:13,"up_complete",1,"up",2016-03-14 06:42:34,28349.25,55378.3125,15.1296180555556,55.9972308485714,54.6785196685714
"UCDHIST-GS0486-2011-08-02",2012,2012-06-28 10:04:49,NA,"up_incomplete",0,"up",2012-06-28 10:04:49,10892,15296,NA,69.4565476185714,69.4208333328571
"UCDHIST-GS0487-2011-08-09",2011,2011-08-20 22:15:36,NA,"up_incomplete",0,"up",2011-08-20 22:15:36,NA,NA,NA,70.7553571428572,71.5517857142857
"UCDHIST-GS0488-2011-08-10",2013,2013-06-07 14:57:00,NA,"up_incomplete",0,"up",2013-06-07 14:57:00,10319.5789473684,11347.9473684211,NA,66.6589285714286,68.8698240171429
"UCDHIST-GS0489-2011-08-15",2012,2012-06-18 13:28:49,NA,"up_incomplete",0,"up",2012-06-18 13:28:49,9063,11675,NA,70.6625,69.7863095242857
"UCDHIST-GS0489-2011-08-15",2013,2013-04-24 19:12:14,NA,"up_incomplete",0,"up",2013-04-24 19:12:14,NA,NA,NA,65.0422619057143,62.3922619042857
"UCDHIST-GS0496-2012-04-13",2012,2012-04-19 01:49:55,NA,"up_incomplete",0,"up",2012-04-19 01:49:55,9693,20417,NA,64.6827380957143,57.69702381
"UCDHIST-GS0497-2012-04-13",2012,2012-08-19 15:51:52,NA,"up_incomplete",0,"up",2012-08-19 15:51:52,NA,NA,NA,71.1373964814286,72.3142857128571
"UCDHIST-GS0498-2012-04-13",2012,2012-05-20 10:03:27,NA,"up_incomplete",0,"up",2012-05-20 10:03:27,NA,NA,NA,67.7101190485714,66.53452381
"UCDHIST-GS0499-2012-04-15",2012,2012-04-19 23:30:05,NA,"up_incomplete",0,"up",2012-04-19 23:30:05,9693,20417,NA,64.6827380957143,57.69702381
"UCDHIST-GS0500-2012-04-16",2012,2012-05-16 12:21:47,NA,"up_incomplete",0,"up",2012-05-16 12:21:47,7518,8990,NA,67.2583333342857,65.2994047628571
"UCDHIST-GS0500-2012-04-16",2013,2013-05-23 01:17:47,NA,"up_incomplete",0,"up",2013-05-23 01:17:47,9886,11592,NA,66.8529761914286,68.4928571414286
"UCDHIST-GS0502-2012-04-16",2012,2012-06-05 02:54:47,NA,"up_incomplete",0,"up",2012-06-05 02:54:47,9299,10164,NA,68.5636904771429,68.8113095242857
"UCDHIST-GS0503-2012-04-17",2012,2012-06-07 04:41:16,NA,"up_incomplete",0,"up",2012-06-07 04:41:16,NA,NA,NA,68.8136904771429,69.0202380957143
"UCDHIST-GS0503-2012-04-17",2013,2013-08-23 02:22:59,NA,"up_incomplete",0,"up",2013-08-23 02:22:59,NA,NA,NA,71.37904762,72.8779761914286
"UCDHIST-GS0506-2012-04-18",2012,2012-04-25 03:26:23,NA,"up_incomplete",0,"up",2012-04-25 03:26:23,10503,19646,NA,64.0571428571428,62.4857142857143
"UCDHIST-GS0507-2012-04-19",2012,2012-07-11 06:36:54,NA,"up_incomplete",0,"up",2012-07-11 06:36:54,NA,NA,NA,71.3910714285714,71.1708333328571
"UCDHIST-GS0507-2012-04-19",2013,2013-09-13 06:02:40,NA,"up_incomplete",0,"up",2013-09-13 06:02:40,NA,NA,NA,69.9809523814286,71.5142857128571
